Code,Function,Class,SubClass,Detail,Description,Example Document Types,Category Mapping
1.1,Governance,Establishment,,,Formal arrangements for the establishment of a new school,Certificate of Incorporation; Memorandum & Articles of Association; planning documentation; records of community consultation; documentation of the opening; photographs,1.1  Establishment
1.2,Governance,Closure,,,Formal arrangements for the closure of a school,Legal documents,1.2  Closure
1.3,Governance,Council and Committees,,,"Structure, membership, deliberations and operation of the school's governing Council (or equivalent) and committees, senior management group, and Student Council",constitution; terms of reference; election documents; appointments; papers and minutes of Council/Board and senior committee meetings,1.3  Council and Committees
1.4,Governance,Regulation,,,"Accreditation, registration,  licensing, approval and regulation of the school to be an educational provider, including family day care educator.   Includes registration as a student exchange organisation, a Registered Training Organisation and as an International Baccalaureate school. Includes its approvals for courses ",Applications for registration and supporting documentation; approvals; renewals; information requests; cancellations; suspensions,1.4  Regulation
1.5,Governance,Compliance Monitoring,,,"Formal review against standards of the governance, enrolments, curriculum and student performance, student welfare, staff employment and school infrastructure.  Includes external and internal assessment or review",Guidelines and standards; formal inspections; reviews; audits; results of assessments against standards,1.5  Compliance Monitoring
1.6,Governance,Planning,,,"Strategic planning, reporting and reviewing or evaluating processes, procedures and school standards.",Strategic plans; business plans; documentation of internal reviews,1.6  Planning
1.7,Governance,Delegations and Authorisations,,,Delegations of power to staff to authorise financial or other decisionmaking and transactions,Delegations and Authorisations,1.7  Delegations and Authorisations
1.8.1,Governance,Agreements/Contracts,Register,,Summary of all agreements/contracts entered into by the school,Contracts register or system,1.8  Agreements/Contracts
1.8.2,Governance,Agreements/Contracts,Successful  Major,,"Negotiation, establishment and maintenance of major agreements with external organisations relating to the provision of services",Specifications; tender and negotiation records; quotations; assessments of tenders; final agreements/contracts; service level agreements,1.8  Agreements/Contracts
1.8.3,Governance,Agreements/Contracts,Successful  Minor,,Establishment and maintenance of minor agreements with external organisations for small scaleservice provision.,Final agreements/contracts; service level agreements; tender and negotiation records,1.8  Agreements/Contracts
1.8.4,Governance,Agreements/Contracts,Unsuccessful,,"Unsuccessful tenders or a tender/contracting process where there is no suitable provider, or where the tender/contracting process has been discontinued",,1.8  Agreements/Contracts
1.8.5,Governance,Agreements/ Contracts,Submissions,,"Submissions to external organisations, including regulatory bodies and government inquiries, on issues relevant to the core responsibilities of the school.",Statements; business cases; supporting information; working papers ,1.8  Agreements/Contracts
1.9,Governance,Submissions,,,"Submissions to external organisations, including regulatory bodies and government inquiries, on issues relevant to the core responsibilities of the school",Statements; business cases; supporting information; working papers,1.9  Submissions
1.10,Governance,Policies and Procedures,,," Development and establishment of decisions, directions and precedents, to support future decision making and operations",Final policies; final procedures; working papers where they are likely to be reused,1.10  Policies and Procedures
1.11,Governance,Reporting,,,"Provision of formal responses to a requirement, situation or request (internal or external), e.g. reports to regulatory bodies, results of investigations, statistics. Includes public reporting such as the school's Annual Report.","School Performance Information reports; parent, staff and student surveys",1.11  Reporting
1.12,Governance,Child Protection,,,"Frameworks, programs, reviews relating to child protection",,1.12  Child Protection
1.13,Governance,Corporate Identity,,,"Development and protection of the name, coat of arms, crest, motto, logo or seal of the school",,1.13  Corporate Identity
1.14.1.1,Governance,Legal Services,Advice,Major Issues,"Advice on issues of public interest or controversy, or which results in a change to school policy",Major Issues,1.14  Legal Services
1.14.1.2,Governance,Legal Services,Advice,Other Issues,Advice on issues that are not of public interest or controversy,,1.14  Legal Services
1.14.2.1,Governance,Legal Services,Litigation,Major Matters,"Matters where legal precedents are set, or are of public interest or controversy, or lead to a change in school policy   Permanent",,1.14  Legal Services
1.14.2.2,Governance,Legal Services,Litigation,Other Matters,That are not of public interest or controversy,,1.14  Legal Services
2.1.1,Administration,Finance,Financial Records  Annual,,Annual summaries of the school's financial position that are audited or used for other reporting,"Annual financial statements, statutory financial reports, balance sheets, operating statements, cash flow statements and accompanying notes",2.1  Finance
2.1.2,Administration,Finance,Accounting,,Accounting records and associated supporting records related to managing the school's revenue and expenditure,"Accounts payable; accounts receivable; routine financial statements and reports; credit notices; petty cash records; cash books; journals, ledgers and other records; bank deposit records; bank statements; bank reconciliation statements; investment and dividend statements; credit card statements; interim financial statements",2.1  Finance
2.1.3,Administration,Finance,Banking,,"Establishment and closure of bank accounts, including investment accounts.",,2.1  Finance
2.1.4,Administration,Finance,Audit,,Conduct and reporting of financial or performance audits by internal and external parties.,Arrangements for audit; reports,2.1  Finance
2.1.5.1,Administration,Finance,Assets,Register,Summary listing the school's assets. ,Asset register,2.1  Finance
2.1.5.2,Administration,Finance,Assets,Valuations,Asset valuation and asset management processes. ,"Advices for inclusion on the asset register, valuation reports",2.1  Finance
2.1.6,Administration,Finance,Budgeting,,Compilation of annual budgets,Budget calculations; final budget,2.1  Finance
2.1.7,Administration,Finance,Funding,,Successful and unsuccessful applications for grant or other funding.,Submissions; agreements; supporting correspondence,2.1  Finance
2.1.8,Administration,Finance,Fees,,"Setting of fees and charges for school services, programs, etc. ",Calculations; final fee schedule; exceptions ,2.1  Finance
2.1.9,Administration,Finance,Taxation,,"Administration of taxation matters, including income tax, land tax, payroll tax, goods and services tax, fringe benefits tax and any other taxes. Includes payment of taxes. ","Tax assessments, instalment notices, payments. ",2.1  Finance
2.1.10.1,Administration,Finance,Insurance,Claims,"Management of claims against school insurance policies, other than Workers Compensation claims",Claims,2.1  Finance
2.1.10.2,Administration,Finance,Insurance,Claims,"Management of claims against school insurance policies, other than Workers Compensation claims. ",,2.1  Finance
2.2.1,Administration,Property,Acquisition And Disposal,,"Acquisition and disposal of land or buildings. Includes acquisition through purchase, donation, bequest or other forms of acquisition.",Legal documents relating to a purchase / sale; particulars of sale documents; board of survey; deeds and certificates; conditions of contracts; certificates of approval; photographs,2.2  Property
2.2.2,Administration,Property,Construction And Renovation,,"Building a new structure, or undertaking renovation that affects the overall structure or design of the property, including grounds.","Tender documentation; heritage and environmental reports; drawings;, plans; specifications; submissions to planning authorities; soil tests; photographs",2.2  Property
2.2.3,Administration,Property,Refurbishment,,Routine refurbishment of property that does not affect its overall structure or design,,2.2  Property
2.2.4,Administration,Property,Maintenance,,"Upkeep, repair and maintenance of property, including e.g. cleaning, painting, repairs, grounds maintenance and electrical maintenance. ","Operating and maintenance manuals, test results and service log sheets for equipment including cooling towers; commissioning of refurbishment works ",2.2  Property
2.2.5.1,Administration,Property,Hazardous Materials,Register,Summary of hazardous substances (including asbestos) identifying substance properties and their condition. ,,2.2  Property
2.2.5.2,Administration,Property,Hazardous Materials,Building Materials,"Identification, removal and disposal of hazardous materials from the fabric of a building, e.g. asbestos ",,2.2  Property
2.2.5.3,Administration,Property,Hazardous Materials,NonBuilding Materials,"Removal, storage and disposal of hazardous waste and materials that are not from the fabric of building, e.g. chemicals or pesticides. ",,2.2  Property
2.2.5.4,Administration,Property,Hazardous Materials,NonToxic Waste,Management and disposal of nontoxic waste. ,,2.2  Property
2.2.6,Administration,Property,Security,,"Measures taken to protect people, premises, equipment or facilities from accidental or intentional damage or from unauthorised access. ",Records of accidents and damage to property; records of incidents of illegal entry resulting in damage and/or theft; register of keys ,2.2  Property
2.2.7.1,Administration,Property,Equipment And Stores,Acquisition,Acquisition of equipment and stores where there is no tender or contractingout process.,Requests for quotations; orders; handover reports; correspondence ,2.2  Property
2.2.7.2,Administration,Property,Equipment And Stores,Disposal,"Disposal of equipment and stores no longer required, by sale, transfer, termination of lease, auction, donation or destruction.",,2.2  Property
2.2.7.3,Administration,Property,Equipment And Stores,Maintenance,"Upkeep, repair, servicing, modification and preservation of internal/external condition of equipment ",Service and maintenance records ,2.2  Property
2.2.8,Administration,Property,Facility Hire,,"Hiring out of school facilities (e.g. hall, sports centre) for nonschool purposes. ",,2.2  Property
2.3.1,Administration,Information Management,Intellectual Property,,Evidence of rights and entitlements over intellectual property owned by the school. ,,2.3  Information Management
2.3.2.1,Administration,Information Management,Information Technology And Systems,Acquisition,"Acquisition of technology and telecommunication equipment, systems and services, where there is no tender or contractingout process.  Includes licences.",,2.3  Information Management
2.3.2.2,Administration,Information Management,Information Technology And Systems,Implementation,"Implementation of hardware, communications and systems. Includes preliminary studies, system development, testing, modification. ",Feasibility studies; technical manuals; business rules; user requirements; system specifications ,2.3  Information Management
2.3.2.3,Administration,Information Management,Information Technology And Systems,Management,"Ongoing management and maintenance of information technology and systems, including database management. Includes system controls, configuration management, security /protection from damage.",,2.3  Information Management
2.3.3.1,Administration,Information Management,Privacy,Breaches,"Management of breaches detected, or arising from a complaint.",Complaints; investigations; reports,2.3  Information Management
2.3.3.2,Administration,Information Management,Privacy,Unfounded Complaints,Management of complaints that do not result in a privacy breach.,Complaints; investigations; reports,2.3  Information Management
2.3.4.1,Administration,Information Management,Recordkeeping And Archives,Controls,Master control records for recordkeeping systems and archival collections.   ,,2.3  Information Management
2.3.4.2,Administration,Information Management,Recordkeeping And Archives,Reference Services,Provision of research and reference services in response to internal and external enquiries or specific projects. ,,2.3  Information Management
2.3.4.3,Administration,Information Management,Recordkeeping And Archives,Donations And Loans,Formal arrangements for receipt or refusal of donations or loans of material from external sources. ,,2.3  Information Management
